NBR :: 14.9600 :: eeeeedueee :: 2012-05-08 10:46:27 -0700
SODA :: 29.4200 :: ueueeeedue :: 2012-05-08 10:56:31 -0700
FIO :: 21.0000 :: eeeeeeeeee :: 2012-05-08 11:01:32 -0700
BBBY :: 67.7600 :: eeueueudeu :: 2012-05-08 11:01:33 -0700
RGR :: 47.7900 :: uddeueeedu :: 2012-05-08 11:01:33 -0700
EDZ :: 14.5800 :: eeeeeeedee :: 2012-05-08 11:16:37 -0700
CREE :: 31.6600 :: eeueeeeeue :: 2012-05-08 11:21:40 -0700
MBI :: 9.6100 :: eeeeeeeeed :: 2012-05-08 11:31:42 -0700
WPRT :: 28.0880 :: udeeeeueud :: 2012-05-08 11:36:44 -0700
TNH :: 230.0000 :: ueeueedddd :: 2012-05-08 11:36:45 -0700
UNG :: 17.4100 :: dueeeddude :: 2012-05-08 11:36:54 -0700
DTV :: 47.5600 :: eeudeedeee :: 2012-05-08 11:41:56 -0700
BOIL :: 8.2400 :: eeeeeeeedu :: 2012-05-08 11:41:57 -0700
PVH :: 81.1400 :: deuddeeeed :: 2012-05-08 11:51:59 -0700
CELG :: 70.2860 :: dueeedeeeu :: 2012-05-08 12:02:01 -0700
BUD :: 72.8000 :: ududeeeeud :: 2012-05-08 12:07:03 -0700
QCOM :: 62.2950 :: eeeddeeedu :: 2012-05-08 12:07:03 -0700
ARBA :: 39.0800 :: eeeueeeuee :: 2012-05-08 12:07:04 -0700
CMI :: 106.4600 :: ueududeeee :: 2012-05-08 12:12:07 -0700
KSU :: 75.1200 :: dueueuudee :: 2012-05-08 12:22:19 -0700
LEAP :: 5.1800 :: udueedeeee :: 2012-05-08 12:22:20 -0700
VSI :: 51.1200 :: ddddeuedde :: 2012-05-08 12:26:22 -0700
TNA :: 53.5300 :: deeedeeeeu :: 2012-05-08 12:26:29 -0700
SWN :: 29.4600 :: eeeeeedeee :: 2012-05-08 12:46:34 -0700
JNK :: 39.5900 :: udeeueddud :: 2012-05-08 12:51:36 -0700
VTUS :: 10.1200 :: ueeeeeedue :: 2012-05-08 12:56:38 -0700
SOHU :: 47.4700 :: eeeeueeudu :: 2012-05-08 13:01:41 -0700
IBB :: 125.0800 :: uduueedeed :: 2012-05-08 13:11:44 -0700
AMRN :: 11.6700 :: eeeeeeeeue :: 2012-05-08 13:16:46 -0700
MED :: 17.8700 :: dudueeueed :: 2012-05-08 13:16:47 -0700
